Date,Close,Index
2019-10-23,1659.33,DS30
2019-10-24,1675.09,DS30
2019-10-27,1668.36,DS30
2019-10-28,1648.94,DS30
2019-10-29,1635.5,DS30
2019-10-30,1631.47,DS30
2019-10-31,1627.74,DS30
2019-11-03,1638.35,DS30
2019-11-04,1626.6,DS30
2019-11-05,1637.14,DS30
2019-11-06,1654.19,DS30
2019-11-07,1657.91,DS30
2019-11-11,1664.35,DS30
2019-11-12,1664.31,DS30
2019-11-13,1647.05,DS30
2019-11-14,1638.24,DS30
2019-11-17,1642.36,DS30
2019-11-18,1652.15,DS30
2019-11-19,1661.22,DS30
2019-11-20,1645.3,DS30
2019-11-21,1650.63,DS30
2019-11-24,1638.16,DS30
2019-11-25,1635.85,DS30
2019-11-26,1634.79,DS30
2019-11-27,1646.33,DS30
2019-11-28,1647.7,DS30
2019-12-01,1644.83,DS30
2019-12-02,1629.04,DS30
2019-12-03,1617.24,DS30
2019-12-04,1617.62,DS30
2019-12-05,1605.82,DS30
2019-12-08,1583.05,DS30
2019-12-09,1561.5,DS30
2019-12-10,1548.37,DS30
2019-12-11,1552.15,DS30
2019-12-12,1548.12,DS30
2019-12-15,1538.62,DS30
2019-12-17,1508.28,DS30
2019-12-18,1498.69,DS30
2019-12-19,1513.47,DS30
2019-12-22,1501.6,DS30
2019-12-23,1494.54,DS30
2019-12-24,1496.4,DS30
2019-12-26,1508.95,DS30
2019-12-29,1512.33,DS30
2019-12-30,1513.34,DS30
2020-01-01,1501.78,DS30
2020-01-02,1506.12,DS30
2020-01-05,1480.31,DS30
2020-01-06,1451.89,DS30
2020-01-07,1436.26,DS30
2020-01-08,1421.38,DS30
2020-01-09,1406.37,DS30
2020-01-12,1415.7,DS30
2020-01-13,1387.78,DS30
2020-01-14,1361.64,DS30
2020-01-15,1371.23,DS30
2020-01-16,1406.59,DS30
2020-01-19,1487.25,DS30
2020-01-20,1514.54,DS30
2020-01-21,1507.14,DS30
2020-01-22,1519.84,DS30
2020-01-23,1543.42,DS30
2020-01-26,1545.85,DS30
2020-01-27,1541.23,DS30
2020-01-28,1543.69,DS30
2020-01-29,1526.44,DS30
2020-01-30,1524.04,DS30
2020-02-02,1525.03,DS30
2020-02-03,1536.16,DS30
2020-02-04,1526.3,DS30
2020-02-05,1519.22,DS30
2020-02-06,1513.86,DS30
2020-02-09,1492.45,DS30
2020-02-10,1491.57,DS30
2020-02-11,1517.22,DS30
2020-02-12,1516.06,DS30
2020-02-13,1536.63,DS30
2020-02-16,1592.32,DS30
2020-02-17,1599.0,DS30
2020-02-18,1590.87,DS30
2020-02-19,1599.55,DS30
2020-02-20,1592.8,DS30
2020-02-23,1591.75,DS30
2020-02-24,1571.21,DS30
2020-02-25,1550.97,DS30
2020-02-26,1517.7,DS30
2020-02-27,1492.37,DS30
2020-03-01,1474.67,DS30
2020-03-02,1479.71,DS30
2020-03-03,1485.16,DS30
2020-03-04,1470.11,DS30
2020-03-05,1462.24,DS30
2020-03-08,1435.0,DS30
